HUD frame time nsec:,16591000

Range Index,Elapsed Time, First Event,Last Event
0,9024,3,3
1,24160,42,42
2,704,95,95
3,800,151,151
4,704,207,207
5,672,263,263
6,704,319,319
7,704,375,375
8,704,431,431
9,736,487,487
10,704,543,543
11,704,599,599
12,672,655,655
13,14080,666,666
14,203680,707,707
15,704,734,734
16,12800,741,741
17,207264,782,782
18,736,809,809
19,80800,907,907
20,672,934,934
21,6560,966,966
22,4544,995,995
23,4864,1024,1024
24,4576,1053,1053
25,4704,1082,1082
26,4448,1111,1111
27,4448,1140,1140
28,4512,1169,1169
29,4736,1198,1198
30,4352,1227,1227
31,4416,1256,1256
32,4512,1285,1285
33,4320,1314,1314
34,4608,1343,1343
35,4288,1372,1372
36,6880,1401,1401
37,6432,1430,1430
38,6432,1459,1459
39,6368,1488,1488
40,6464,1517,1517
41,4448,1546,1546
42,4448,1575,1575
43,4448,1604,1604
44,4288,1633,1633
45,4512,1662,1662
46,4512,1691,1691
47,4384,1720,1720
48,4672,1749,1749
49,4448,1778,1778
50,4608,1807,1807
51,4320,1836,1836
52,5024,1865,1865
53,4800,1894,1894
54,4352,1923,1923
55,6304,1952,1952
56,6240,1981,1981
57,6368,2010,2010
58,6112,2039,2039
59,6144,2068,2068
60,6304,2097,2097
61,4256,2126,2126
62,4480,2155,2155
63,4480,2184,2184
64,4416,2213,2213
65,4640,2242,2242
66,4704,2271,2271
67,4320,2300,2300
68,4480,2329,2329
69,4448,2358,2358
70,4544,2387,2387
71,4384,2416,2416
72,4352,2445,2445
73,4384,2474,2474
74,4576,2503,2503
75,6432,2532,2532
76,6560,2561,2561
77,6208,2590,2590
78,6560,2619,2619
79,6272,2648,2648
80,6176,2677,2677
81,4256,2706,2706
82,4480,2735,2735
83,4640,2764,2764
84,4384,2793,2793
85,4320,2822,2822
86,4256,2851,2851
87,4416,2880,2880
88,4448,2909,2909
89,4576,2938,2938
90,4320,2967,2967
91,4416,2996,2996
92,4320,3025,3025
93,4608,3054,3054
94,6144,3083,3083
95,6528,3112,3112
96,6272,3141,3141
97,6816,3170,3170
98,6624,3199,3199
99,6464,3228,3228
100,6368,3257,3257
101,4288,3286,3286
102,4576,3315,3315
103,4448,3344,3344
104,4576,3373,3373
105,4480,3402,3402
106,4288,3431,3431
107,4352,3460,3460
108,4480,3489,3489
109,4448,3518,3518
110,4320,3547,3547
111,4608,3576,3576
112,4480,3605,3605
113,4480,3634,3634
114,4480,3663,3663
115,6464,3692,3692
116,6240,3721,3721
117,6432,3750,3750
118,6432,3779,3779
119,6304,3808,3808
120,6176,3837,3837
121,4256,3866,3866
122,1124896,3895,3895
123,4480,3924,3924
124,4512,3953,3953
125,4384,3982,3982
126,4544,4011,4011
127,4544,4040,4040
128,4672,4069,4069
129,4448,4098,4098
130,4832,4127,4127
131,4480,4156,4156
132,4288,4185,4185
133,4544,4214,4214
134,4352,4243,4243
135,6176,4272,4272
136,6400,4301,4301
137,6464,4330,4330
138,6272,4359,4359
139,6368,4388,4388
140,6272,4417,4417
141,4320,4446,4446
142,4512,4475,4475
143,4576,4504,4504
144,4640,4533,4533
145,4608,4562,4562
146,4288,4591,4591
147,4256,4620,4620
148,4480,4649,4649
149,4416,4678,4678
150,4416,4707,4707
151,4416,4736,4736
152,4128,4765,4765
153,4352,4794,4794
154,4288,4823,4823
155,6528,4852,4852
156,6304,4881,4881
157,6688,4910,4910
158,6432,4939,4939
159,6496,4968,4968
160,6240,4997,4997
161,4544,5026,5026
162,4480,5055,5055
163,4480,5084,5084
164,4608,5113,5113
165,4288,5142,5142
166,4320,5171,5171
167,4416,5200,5200
168,4320,5229,5229
169,4608,5258,5258
170,4384,5287,5287
171,4320,5316,5316
172,4224,5345,5345
173,4576,5374,5374
174,4512,5403,5403
175,6592,5432,5432
176,6944,5461,5461
177,6464,5490,5490
178,6336,5519,5519
179,6240,5548,5548
180,6240,5577,5577
181,4288,5606,5606
182,4448,5635,5635
183,4384,5664,5664
184,4480,5693,5693
185,4384,5722,5722
186,4256,5751,5751
187,4512,5780,5780
188,4416,5809,5809
189,4224,5838,5838
190,4544,5867,5867
191,4416,5896,5896
192,4416,5925,5925
193,4256,5954,5954
194,4416,5983,5983
195,4512,6012,6012
196,6368,6041,6041
197,5984,6070,6070
198,4928,6099,6099
199,5888,6128,6128
200,4672,6157,6157
201,4480,6186,6186
202,4512,6215,6215
203,4416,6244,6244
204,4576,6273,6273
205,4512,6302,6302
206,4320,6331,6331
207,4416,6360,6360
208,4608,6389,6389
209,4352,6418,6418
210,4256,6447,6447
211,4192,6476,6476
212,4256,6505,6505
213,4320,6534,6534
214,4448,6563,6563
215,4128,6592,6592
216,4512,6621,6621
217,4128,6650,6650
218,4608,6679,6679
219,4608,6708,6708
220,4352,6737,6737
221,4416,6766,6766
222,4288,6795,6795
223,4608,6824,6824
224,4672,6853,6853
225,4448,6882,6882
226,4544,6911,6911
227,4224,6940,6940
228,4448,6969,6969
229,4448,6998,6998
230,4416,7027,7027
231,4704,7056,7056
232,4384,7085,7085
233,4384,7114,7114
234,4256,7143,7143
235,4352,7172,7172
236,4448,7201,7201
237,4352,7230,7230
238,4320,7259,7259
239,4320,7288,7288
240,4352,7317,7317
241,4544,7346,7346
242,4224,7375,7375
243,4384,7404,7404
244,4320,7433,7433
245,4320,7462,7462
246,4704,7491,7491
247,4576,7520,7520
248,986304,7549,7549
249,4480,7578,7578
250,4352,7607,7607
251,4352,7636,7636
252,4704,7665,7665
253,4320,7694,7694
254,4544,7723,7723
255,4288,7752,7752
256,4448,7781,7781
257,4448,7810,7810
258,4288,7839,7839
259,4352,7868,7868
260,4448,7897,7897
261,4448,7926,7926
262,4352,7955,7955
263,4224,7984,7984
264,4544,8013,8013
265,4352,8042,8042
266,4384,8071,8071
267,4288,8100,8100
268,4608,8129,8129
269,4576,8158,8158
270,4288,8187,8187
271,4192,8216,8216
272,4480,8245,8245
273,4448,8274,8274
274,4544,8303,8303
275,4320,8332,8332
276,4384,8361,8361
277,4576,8390,8390
278,4544,8419,8419
279,4224,8448,8448
280,4448,8477,8477
281,4416,8506,8506
282,4416,8535,8535
283,4352,8564,8564
284,4288,8593,8593
285,4544,8622,8622
286,4416,8651,8651
287,4608,8680,8680
288,4192,8709,8709
289,4352,8738,8738
290,4576,8767,8767
291,4416,8796,8796
292,4544,8825,8825
293,4480,8854,8854
294,4640,8883,8883
295,4576,8912,8912
296,4384,8941,8941
297,4352,8970,8970
298,4576,8999,8999
299,4448,9028,9028
300,4480,9057,9057
301,4512,9086,9086
302,4384,9115,9115
303,4256,9144,9144
304,4448,9173,9173
305,4288,9202,9202
306,4416,9231,9231
307,4416,9260,9260
308,4288,9289,9289
309,4480,9318,9318
310,4480,9347,9347
311,4448,9376,9376
312,4288,9405,9405
313,4320,9434,9434
314,4640,9463,9463
315,4608,9492,9492
316,4384,9521,9521
317,4448,9550,9550
318,4288,9579,9579
319,4192,9608,9608
320,4352,9637,9637
321,4544,9666,9666
322,4480,9695,9695
323,4736,9724,9724
324,4416,9753,9753
325,4480,9782,9782
326,4384,9811,9811
327,4288,9840,9840
328,4352,9869,9869
329,4384,9898,9898
330,4224,9927,9927
331,4448,9956,9956
332,4256,9985,9985
333,4352,10014,10014
334,4608,10043,10043
335,4416,10072,10072
336,4576,10101,10101
337,4224,10130,10130
338,4352,10159,10159
339,4416,10188,10188
340,4544,10217,10217
341,4352,10246,10246
342,4288,10275,10275
343,4384,10304,10304
344,4416,10333,10333
345,4480,10362,10362
346,4320,10391,10391
347,4352,10420,10420
348,4288,10449,10449
349,4544,10478,10478
350,4160,10507,10507
351,4416,10536,10536
352,4512,10565,10565
353,4448,10594,10594
354,4544,10623,10623
355,4320,10652,10652
356,4288,10681,10681
357,4320,10710,10710
358,4480,10739,10739
359,4480,10768,10768
360,4416,10797,10797
361,4512,10826,10826
362,4416,10855,10855
363,4640,10884,10884
364,4608,10913,10913
365,4224,10942,10942
366,4672,10971,10971
367,4512,11000,11000
368,4736,11029,11029
369,4544,11058,11058
370,4448,11087,11087
371,4416,11116,11116
372,4288,11145,11145
373,4256,11174,11174
374,4416,11203,11203
375,17248,11232,11232
376,4224,11261,11261
377,4352,11290,11290
378,4416,11319,11319
379,4288,11348,11348
380,4640,11377,11377
381,4256,11406,11406
382,4416,11435,11435
383,4256,11464,11464
384,4608,11493,11493
385,4288,11522,11522
386,4288,11551,11551
387,4512,11580,11580
388,4416,11609,11609
389,4640,11638,11638
390,4448,11667,11667
391,4224,11696,11696
392,4256,11725,11725
393,4256,11754,11754
394,4384,11783,11783
395,4256,11812,11812
396,4512,11841,11841
397,4352,11870,11870
398,4512,11899,11899
399,4416,11928,11928
400,4288,11957,11957
401,4352,11986,11986
402,4544,12015,12015
403,4608,12044,12044
404,4384,12073,12073
405,4256,12102,12102
406,4288,12131,12131
407,4288,12160,12160
408,4224,12189,12189
409,4352,12218,12218
410,4352,12247,12247
411,4640,12276,12276
412,4352,12305,12305
413,4448,12334,12334
414,4480,12363,12363
415,4448,12392,12392
416,4416,12421,12421
417,4640,12450,12450
418,4320,12479,12479
419,4608,12508,12508
420,4288,12537,12537
421,4518240,12550,12550

Range Index,Elapsed Time, First Event,Last Event
0,7200,4,4
1,14880,43,43
2,864,96,96
3,704,152,152
4,672,208,208
5,704,264,264
6,896,320,320
7,704,376,376
8,704,432,432
9,704,488,488
10,704,544,544
11,704,600,600
12,672,656,656
13,6784,667,667
14,44672,708,708
15,704,735,735
16,704,762,762
17,704,789,789
18,704,816,816
19,704,843,843
20,5792,850,850
21,45216,891,891
22,704,918,918
23,672,945,945
24,704,972,972
25,672,999,999
26,704,1026,1026
27,118528,1125,1125
28,5120,1152,1152
29,736,1179,1179
30,704,1206,1206
31,704,1233,1233
32,704,1260,1260
33,672,1292,1292
34,4672,1321,1321
35,4608,1350,1350
36,4448,1379,1379
37,4736,1408,1408
38,4448,1437,1437
39,4736,1466,1466
40,4384,1495,1495
41,4672,1524,1524
42,4288,1553,1553
43,4384,1582,1582
44,4288,1611,1611
45,4672,1640,1640
46,4320,1669,1669
47,4544,1698,1698
48,4288,1727,1727
49,4448,1756,1756
50,4224,1785,1785
51,4416,1814,1814
52,4448,1843,1843
53,4704,1872,1872
54,4416,1901,1901
55,4512,1930,1930
56,4736,1959,1959
57,4256,1988,1988
58,4416,2017,2017
59,4352,2046,2046
60,4480,2075,2075
61,4416,2104,2104
62,4320,2133,2133
63,4480,2162,2162
64,4608,2191,2191
65,4480,2220,2220
66,4416,2249,2249
67,4512,2278,2278
68,4320,2307,2307
69,4384,2336,2336
70,4448,2365,2365
71,4448,2394,2394
72,4352,2423,2423
73,4512,2452,2452
74,4448,2481,2481
75,4512,2510,2510
76,4448,2539,2539
77,4160,2568,2568
78,4576,2597,2597
79,4416,2626,2626
80,4384,2655,2655
81,4544,2684,2684
82,4384,2713,2713
83,4160,2742,2742
84,4448,2771,2771
85,4576,2800,2800
86,4544,2829,2829
87,4384,2858,2858
88,4480,2887,2887
89,4384,2916,2916
90,4352,2945,2945
91,4320,2974,2974
92,4128,3003,3003
93,4320,3032,3032
94,4320,3061,3061
95,4448,3090,3090
96,4640,3119,3119
97,4512,3148,3148
98,4448,3177,3177
99,4416,3206,3206
100,4320,3235,3235
101,4320,3264,3264
102,4352,3293,3293
103,4192,3322,3322
104,4576,3351,3351
105,1091968,3380,3380
106,4320,3409,3409
107,4448,3438,3438
108,4416,3467,3467
109,4640,3496,3496
110,4352,3525,3525
111,4416,3554,3554
112,4384,3583,3583
113,4480,3612,3612
114,4544,3641,3641
115,4352,3670,3670
116,4320,3699,3699
117,4352,3728,3728
118,4416,3757,3757
119,4448,3786,3786
120,4480,3815,3815
121,4448,3844,3844
122,4288,3873,3873
123,4480,3902,3902
124,4288,3931,3931
125,4320,3960,3960
126,4544,3989,3989
127,4352,4018,4018
128,4384,4047,4047
129,4320,4076,4076
130,4416,4105,4105
131,4640,4134,4134
132,4576,4163,4163
133,4160,4192,4192
134,4352,4221,4221
135,4192,4250,4250
136,4320,4279,4279
137,4352,4308,4308
138,4608,4337,4337
139,4736,4366,4366
140,4416,4395,4395
141,4640,4424,4424
142,4224,4453,4453
143,4448,4482,4482
144,4416,4511,4511
145,4448,4540,4540
146,4480,4569,4569
147,4256,4598,4598
148,4224,4627,4627
149,4992,4656,4656
150,4896,4685,4685
151,4544,4714,4714
152,4736,4743,4743
153,4384,4772,4772
154,4384,4801,4801
155,4352,4830,4830
156,4608,4859,4859
157,4352,4888,4888
158,4288,4917,4917
159,4384,4946,4946
160,4288,4975,4975
161,4608,5004,5004
162,4320,5033,5033
163,4288,5062,5062
164,4448,5091,5091
165,4224,5120,5120
166,4992,5149,5149
167,4224,5178,5178
168,4864,5207,5207
169,5024,5236,5236
170,4736,5265,5265
171,6464,5294,5294
172,6208,5323,5323
173,4160,5352,5352
174,4384,5381,5381
175,4384,5410,5410
176,4288,5439,5439
177,4608,5468,5468
178,4512,5497,5497
179,4320,5526,5526
180,4352,5555,5555
181,4320,5584,5584
182,4608,5613,5613
183,4320,5642,5642
184,4320,5671,5671
185,4512,5700,5700
186,5056,5729,5729
187,4928,5758,5758
188,4896,5787,5787
189,4704,5816,5816
190,6304,5845,5845
191,6112,5874,5874
192,6112,5903,5903
193,4288,5932,5932
194,4576,5961,5961
195,4640,5990,5990
196,4416,6019,6019
197,4352,6048,6048
198,4352,6077,6077
199,4448,6106,6106
200,4448,6135,6135
201,4352,6164,6164
202,4576,6193,6193
203,4384,6222,6222
204,4384,6251,6251
205,6336,6280,6280
206,6176,6309,6309
207,6656,6338,6338
208,6080,6367,6367
209,6080,6396,6396
210,6176,6425,6425
211,5856,6454,6454
212,5856,6483,6483
213,4352,6512,6512
214,4544,6541,6541
215,4416,6570,6570
216,4576,6599,6599
217,4416,6628,6628
218,4256,6657,6657
219,4352,6686,6686
220,4416,6715,6715
221,4480,6744,6744
222,4416,6773,6773
223,4448,6802,6802
224,6336,6831,6831
225,5952,6860,6860
226,6336,6889,6889
227,6240,6918,6918
228,6336,6947,6947
229,6272,6976,6976
230,6144,7005,7005
231,1012800,7034,7034
232,5984,7063,7063
233,4480,7092,7092
234,4416,7121,7121
235,4384,7150,7150
236,4384,7179,7179
237,4192,7208,7208
238,4320,7237,7237
239,4352,7266,7266
240,4224,7295,7295
241,4384,7324,7324
242,4576,7353,7353
243,4384,7382,7382
244,6336,7411,7411
245,6560,7440,7440
246,6432,7469,7469
247,6112,7498,7498
248,6336,7527,7527
249,6080,7556,7556
250,6304,7585,7585
251,6176,7614,7614
252,6208,7643,7643
253,4256,7672,7672
254,4480,7701,7701
255,4480,7730,7730
256,4224,7759,7759
257,4512,7788,7788
258,4480,7817,7817
259,4384,7846,7846
260,4544,7875,7875
261,4768,7904,7904
262,4640,7933,7933
263,4672,7962,7962
264,4352,7991,7991
265,6240,8020,8020
266,4800,8049,8049
267,6368,8078,8078
268,4800,8107,8107
269,4800,8136,8136
270,4800,8165,8165
271,4768,8194,8194
272,5728,8223,8223
273,4512,8252,8252
274,4320,8281,8281
275,4416,8310,8310
276,4320,8339,8339
277,4384,8368,8368
278,4320,8397,8397
279,4320,8426,8426
280,4512,8455,8455
281,4320,8484,8484
282,4256,8513,8513
283,4256,8542,8542
284,4352,8571,8571
285,4512,8600,8600
286,4704,8629,8629
287,4608,8658,8658
288,4736,8687,8687
289,4832,8716,8716
290,4608,8745,8745
291,4928,8774,8774
292,5120,8803,8803
293,4416,8832,8832
294,4480,8861,8861
295,4480,8890,8890
296,4736,8919,8919
297,4192,8948,8948
298,4448,8977,8977
299,4224,9006,9006
300,4512,9035,9035
301,4288,9064,9064
302,4416,9093,9093
303,4384,9122,9122
304,4512,9151,9151
305,4512,9180,9180
306,4640,9209,9209
307,4384,9238,9238
308,4352,9267,9267
309,4224,9296,9296
310,4320,9325,9325
311,4384,9354,9354
312,4480,9383,9383
313,4384,9412,9412
314,4320,9441,9441
315,4384,9470,9470
316,4576,9499,9499
317,4640,9528,9528
318,4320,9557,9557
319,4352,9586,9586
320,4256,9615,9615
321,4352,9644,9644
322,4640,9673,9673
323,4576,9702,9702
324,4704,9731,9731
325,4416,9760,9760
326,4320,9789,9789
327,4256,9818,9818
328,4384,9847,9847
329,4448,9876,9876
330,4640,9905,9905
331,4384,9934,9934
332,4288,9963,9963
333,4416,9992,9992
334,4352,10021,10021
335,4608,10050,10050
336,4256,10079,10079
337,4480,10108,10108
338,4384,10137,10137
339,4608,10166,10166
340,4448,10195,10195
341,4320,10224,10224
342,4288,10253,10253
343,4480,10282,10282
344,4448,10311,10311
345,4352,10340,10340
346,4448,10369,10369
347,4160,10398,10398
348,4544,10427,10427
349,4320,10456,10456
350,4576,10485,10485
351,4544,10514,10514
352,4704,10543,10543
353,4192,10572,10572
354,4192,10601,10601
355,4512,10630,10630
356,4576,10659,10659
357,4352,10688,10688
358,1564480,10717,10717
359,4256,10746,10746
360,4288,10775,10775
361,4288,10804,10804
362,4288,10833,10833
363,4352,10862,10862
364,4288,10891,10891
365,4384,10920,10920
366,4224,10949,10949
367,4416,10978,10978
368,4352,11007,11007
369,4544,11036,11036
370,4416,11065,11065
371,4576,11094,11094
372,4192,11123,11123
373,4288,11152,11152
374,4224,11181,11181
375,4352,11210,11210
376,4416,11239,11239
377,4256,11268,11268
378,4448,11297,11297
379,4480,11326,11326
380,4288,11355,11355
381,4448,11384,11384
382,4224,11413,11413
383,4480,11442,11442
384,4352,11471,11471
385,4320,11500,11500
386,4448,11529,11529
387,4544,11558,11558
388,4224,11587,11587
389,4512,11616,11616
390,4384,11645,11645
391,4224,11674,11674
392,4512,11703,11703
393,4480,11732,11732
394,4736,11761,11761
395,4448,11790,11790
396,4288,11819,11819
397,4480,11848,11848
398,4448,11877,11877
399,4416,11906,11906
400,4256,11935,11935
401,4320,11964,11964
402,4352,11993,11993
403,4352,12022,12022
404,4224,12051,12051
405,4416,12080,12080
406,4256,12109,12109
407,4256,12138,12138
408,4544,12167,12167
409,4160,12196,12196
410,4384,12225,12225
411,4512,12254,12254
412,4640,12283,12283
413,4512,12312,12312
414,4288,12341,12341
415,4416,12370,12370
416,4288,12399,12399
417,4352,12428,12428
418,4384,12457,12457
419,4320,12486,12486
420,4320,12515,12515
421,4416,12544,12544
422,4352,12573,12573
423,4384,12602,12602
424,4384,12631,12631
425,4512,12660,12660
426,4448,12689,12689
427,4448,12718,12718
428,4224,12747,12747
429,4384,12776,12776
430,4352,12805,12805
431,4416,12834,12834
432,4544,12863,12863
433,1824,12869,12869
434,7520,12908,12908
435,704,12961,12961
436,736,13017,13017
437,704,13073,13073
438,928,13129,13129
439,704,13185,13185
440,736,13241,13241
441,800,13297,13297
442,704,13353,13353
443,704,13409,13409
444,704,13465,13465
445,6752,13476,13476
446,44192,13517,13517
447,88960,13608,13608
448,3030880,13622,13622
